S. G. enterprises
Phone No: 8756917364


Stock Summary Report
Dated: 22/02/2023 - 02/05/2027
Total Stock Value: 864631.0


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP
mudgard patti back ,,"",158.0,210.0,16.0 BOX,2528.0,"",0.0
mudgard patti heavy 50pc,,"",94.0,115.0,-1.0 BOX,-94.0,"",0.0
mudgard patti sast,,"",90.0,110.0,-4.0 PCS,-360.0,"",0.0
mudgard ranger 20.175,,"",28.0,45.0,37.0 PAIR,1036.0,"",0.0
mudgard ranger 26.400,,"",90.0,130.0,5.0 PCS,450.0,"",0.0
mudgard ranger aerial,,"",40.0,70.0,22.0 PCS,880.0,"",0.0
mudgard ranger back,,"",14.0,32.0,0.0 PCS,0.0,"",0.0
mudgard ranger element,,"",60.0,90.0,8.0 PCS,480.0,"",0.0
mudgard ranger front,,"",13.5,25.0,74.0 PCS,999.0,"",0.0
mudgard ranger hector,,"",50.0,80.0,47.0 PCS,2350.0,"",0.0
mudgard ranger iron,,"",100.0,125.0,1.0 PAIR,100.0,"",0.0
mudgard ranger jumbo black,,"",48.0,75.0,0.0 PAIR,0.0,"",0.0
mudgard ranger jumbo color,,"",50.0,80.0,0.0 PCS,0.0,"",0.0
mudgard ranger reflector,,"",60.0,90.0,18.0 PCS,1080.0,"",0.0
mudgard ranger slider kid,,"",33.0,48.0,0.0 PAIR,0.0,"",0.0
mudgard ranger ti,,"",25.0,60.0,112.0 PCS,2800.0,"",0.0
mudgard ranger tz+,,"",40.0,70.0,14.0 PCS,560.0,"",0.0
muttha dlx with reflector,,"",150.0,225.0,0.0 BOX,0.0,"",0.0
nipul 10g,,"",35.0,70.0,5.0 PKT,175.0,"",0.0
nipul 12g steel,,"",24.0,40.0,26.0 PKT,624.0,"",0.0
nipul 13g steel,,"",20.0,38.0,28.0 PKT,560.0,"",0.0
nozel back,,"",2.9,4.0,100.0 PCS,290.0,"",0.0
nozel round,,"",3.5,4.0,0.0 PCS,0.0,"",0.0
pana 12/13,,"",39.0,45.0,0.0 PCS,0.0,"",0.0
pana 14/15,,"",30.0,50.0,77.0 PCS,2310.0,"",0.0
pana 14/15,,"",52.0,55.0,0.0 PCS,0.0,"",0.0
pechkas 2 side long,,"",28.0,45.0,11.0 PCS,308.0,"",0.0
pechkas 2 side small,,"",21.0,35.0,12.0 PCS,252.0,"",0.0
pechkas one side heavy,,"",37.0,55.0,6.0 PCS,222.0,"",0.0
pedal 20inch dlx atlas,,"",98.0,110.0,1.0 PAIR,98.0,"",0.0
pedal 20inch hero,,"",60.0,75.0,21.0 PAIR,1260.0,"",0.0
pedal 22inch dhamaka heavy,,"",91.0,110.0,0.0 PAIR,0.0,"",0.0
pedal 22inch hero,,"",61.0,78.0,0.0 PAIR,0.0,"",0.0
pedal atlas std. 22inch,,"",78.0,90.0,9.0 PAIR,702.0,"",0.0
pedal axle nut,,"",34.0,50.0,88.0 BOX,2992.0,"",0.0
pedal baljit,,"",81.5,88.0,0.0 PAIR,0.0,"",0.0
pedal bci gold,,"",81.0,85.0,23.0 PCS,1863.0,"",0.0
pedal champion,,"",76.0,88.0,-1.0 PAIR,-76.0,"",0.0
pedal champion 20inch ,,"",75.0,85.0,47.0 PCS,3525.0,"",0.0
pedal champion dlx,,"",96.0,110.0,1.0 PAIR,96.0,"",0.0
pedal cone sachko,,"",120.0,160.0,0.0 BOX,0.0,"",0.0
pedal dhura 20inch,,"",105.0,140.0,1.0 BOX,105.0,"",0.0
pedal dhura left,,"",105.0,145.0,3.0 BOX,315.0,"",0.0
pedal dhura mix ,,"",105.0,140.0,6.0 BOX,630.0,"",0.0
pedal dlx atlas 22 inch,,"",98.0,112.0,0.0 PCS,0.0,"",0.0
pedal dlx bagga top,,"",110.0,115.0,37.0 PCS,4070.0,"",0.0
pedal kid,,"",33.0,43.0,29.0 PAIR,957.0,"",0.0
pedal kid bagga,,"",35.0,50.0,30.0 PCS,1050.0,"",0.0
pedal kid megnum,,"",41.0,55.0,0.0 PAIR,0.0,"",0.0
pedal kid uplift,,"",40.0,55.0,1.0 PAIR,40.0,"",0.0
pedal ktw 22 inch ,,"",63.0,80.0,0.0 PAIR,0.0,"",0.0
pedal metro 22inch,,"",100.0,110.0,3.0 PAIR,300.0,"",0.0
pedal naag,,"",78.0,86.0,0.0 PAIR,0.0,"",0.0
pedal nijam,,"",82.0,90.0,0.0 PCS,0.0,"",0.0
pedal ranger champ,,"",36.0,50.0,55.0 PAIR,1980.0,"",0.0
pedal ranger hat,,"",59.0,70.0,0.0 PAIR,0.0,"",0.0
pedal ranger magnum,,"",46.5,60.0,31.0 PAIR,1441.5,"",0.0
pedal rinch,,"",67.0,80.0,0.0 PCS,0.0,"",0.0
pedal uplift,,"",87.0,95.0,9.0 PAIR,783.0,"",0.0
pedal washer,,"",22.0,40.0,8.0 PKT,176.0,"",0.0
phool gaddi,,"",28.0,35.0,0.0 PCS,0.0,"",0.0
phool pvc,,"",56.5,65.0,3.0 PKT,169.5,"",0.0
pichla chimta,,"",142.0,165.0,22.0 BOX,3124.0,"",0.0
piller bolt simran,,"",3.0,4.0,39.0 PCS,117.0,"",0.0
plas cheap,,"",47.0,70.0,4.0 PCS,188.0,"",0.0
plas heavy bnp,,"",82.0,110.0,4.0 PCS,328.0,"",0.0
plas medium,,"",62.0,85.0,4.0 BOX,248.0,"",0.0
power brake (2 set) ,,"",160.0,220.0,10.5 BOX,1680.0,"",0.0
power brake set dass pvc,,"",97.0,130.0,16.0 BOX,1552.0,"",0.0
power brake set lite,,"",72.0,105.0,6.0 PCS,432.0,"",0.0
power gutka nylon johny,,"",11.0,14.0,80.0 PCS,880.0,"",0.0
power nalki,,"",300.0,550.0,-0.23 BOX,-69.0,"",0.0
pressure pump nozel brass,,"",8.0,18.0,87.0 PCS,696.0,"",0.0
pump airmaster,,"",240.0,240.0,13.0 PCS,3120.0,"",0.0
pump airmaster duco,,"",222.0,0.0,30.0 PCS,6660.0,"",0.0
pump badshah,,"",165.0,175.0,4.0 PCS,660.0,"",0.0
pump blaze,,"",228.0,245.0,3.0 PCS,684.0,"",0.0
pump china bcp,,"",90.0,115.0,36.0 PCS,3240.0,"",0.0
pump china gold,,"",64.0,80.0,-5.0 PCS,-320.0,"",0.0
pump china heavy new,,"",113.0,140.0,3.0 PCS,339.0,"",0.0
pump classic,,"",167.0,175.0,2.0 PCS,334.0,"",0.0
pump foot wali freedom,,"",530.0,600.0,2.0 PCS,1060.0,"",0.0
pump latto,,"",6.0,8.0,192.0 PCS,1152.0,"",0.0
pump lattoo complete,,"",9.0,11.0,2.0 PCS,18.0,"",0.0
pump nawab sada,,"",205.0,225.0,0.0 PCS,0.0,"",0.0
pump novex,,"",180.0,210.0,3.0 PCS,540.0,"",0.0
pump nozel pin wale,,"",2.9,4.0,21.0 PCS,60.9,"",0.0
pump pehalwan,,"",243.0,250.0,41.0 PCS,9963.0,"",0.0
pump thunder,,"",185.0,210.0,2.0 PCS,370.0,"",0.0
pump trax classic,,"",163.0,175.0,1.0 PCS,163.0,"",0.0
pump trax sumo,,"",238.0,245.0,2.0 PCS,476.0,"",0.0
pump washer,,"",41.0,42.0,169.0 PKT,6929.0,"",0.0
puncture reti,,"",1.5,2.5,-2.0 PCS,-3.0,"",0.0
puncture sheet omni,,"",40.0,50.0,5.0 PCS,200.0,"",0.0
punja bmx uplift,,"",67.0,150.0,6.0 PAIR,402.0,"",0.0
pvc pedal 20inch ,,"",91.0,120.0,27.0 PKT,2457.0,"",0.0
pvc pedal bsa,,"",95.5,125.0,19.5 PKT,1862.25,"",0.0
racer 5/32 bm,,"",11.5,16.0,149.0 PCS,1713.5,"",0.0
ranger alloy handle stem,,"",80.0,120.0,6.0 PCS,480.0,"",0.0
ranger batam rinch,,"",60.0,90.0,4.0 PCS,240.0,"",0.0
ranger chaincover patti heavy,,"",15.0,17.0,3.0 PCS,45.0,"",0.0
ranger chaincover triangle,,"",16.0,35.0,16.0 PCS,256.0,"",0.0
ranger gear freewheel rinch,,"",25.0,40.0,3.0 PCS,75.0,"",0.0
ranger gear set,,"",160.0,210.0,18.0 PCS,2880.0,"",0.0
ranger grip boom,,"",276.0,390.0,3.0 PKT,828.0,"",0.0
ranger grip domino,,"",300.0,390.0,0.0 PKT,0.0,"",0.0
ranger grip hex jali wali,,"",210.0,300.0,10.0 PKT,2100.0,"",0.0
ranger gutka nylon johny,,"",5.4,8.0,50.0 PCS,270.0,"",0.0
ranger handle pipe brut,,"",90.0,140.0,3.0 PCS,270.0,"",0.0
ranger handle pipe mtb,,"",52.0,80.0,9.0 PCS,468.0,"",0.0
ranger head set brut,,"",36.0,75.0,1.0 PCS,36.0,"",0.0
ranger head set china neco,,"",46.0,95.0,28.0 PCS,1288.0,"",0.0
ranger head set mtb,,"",35.0,65.0,22.0 PCS,770.0,"",0.0
ranger kerial,,"",105.0,145.0,11.0 PCS,1155.0,"",0.0
ranger mudgard patti agli,,"",2.0,5.0,186.0 PCS,372.0,"",0.0
ranger mudgard patti long ,,"",7.0,16.0,32.0 PCS,224.0,"",0.0
ranger panja bmx,,"",95.0,150.0,2.0 BOX,190.0,"",0.0
ranger panja heavy,,"",135.0,170.0,5.5 BOX,742.5,"",0.0
ranger patti chandan choodi wali,,"",2.5,3.5,0.0 PCS,0.0,"",0.0
ranger rear wire ,,"",16.5,20.0,30.0 PCS,495.0,"",0.0
ranger wire ,,"",20.0,28.0,262.0 SET,5240.0,"",0.0
reflector at,,"",85.0,120.0,20.0 BOX,1700.0,"",0.0
reflector at ramous 20 pc,,"",180.0,240.0,0.0 BOX,0.0,"",0.0
reflector neelam 40 pc,,"",305.0,400.0,0.3 PCS,91.5,"",0.0
reflector pin,,"",200.0,250.0,4.0 PKT,800.0,"",0.0
reflector small round ramous,,"",142.0,175.0,4.0 BOX,568.0,"",0.0
reflector small white,,"",175.0,230.0,1.0 PKT,175.0,"",0.0
reti with lakdi,,"",5.0,6.0,0.0 PCS,0.0,"",0.0
rim 10g,,"",140.0,150.0,0.0 PCS,0.0,"",0.0
rim 12g,,"",136.0,150.0,11.0 PCS,1496.0,"",0.0
rim 13g front,,"",136.0,150.0,-5.0 PCS,-680.0,"",0.0
rim 13g rear,,"",133.0,150.0,43.0 PCS,5719.0,"",0.0
rim 20 inch agli,,"",134.0,150.0,2.0 PCS,268.0,"",0.0
rim 20inch,,"",134.0,145.0,13.0 PCS,1742.0,"",0.0
rim 20inch avon ,,"",140.0,150.0,0.0 PCS,0.0,"",0.0
rim 26.138,,"",145.0,160.0,0.0 PCS,0.0,"",0.0
rim alloy,,"",250.0,310.0,3.0 PCS,750.0,"",0.0
rim patti,,"",120.0,170.0,0.0 BOX,0.0,"",0.0
rim ranger ,,"",140.0,160.0,1.0 PCS,140.0,"",0.0
rim washer 10g,,"",100.0,145.0,2.6 BOX,260.0,"",0.0
rim washer 12g,,"",100.0,135.0,1.4 BOX,140.0,"",0.0
rim washer 13g,,"",100.0,145.0,6.6 BOX,660.0,"",0.0
rinch 10/11 big,,"",13.0,18.0,21.0 PCS,273.0,"",0.0
rinch 10/11 small,,"",11.0,15.0,25.0 PCS,275.0,"",0.0
rinch 13 khana,,"",14.0,20.0,35.0 PCS,490.0,"",0.0
rinch 14/15,,"",18.0,25.0,49.0 PCS,882.0,"",0.0
rinch 6/7,,"",6.0,0.0,10.0 PCS,60.0,"",0.0
rinch 8/9,,"",8.0,13.0,66.0 PCS,528.0,"",0.0
ring 16b,,"",2.0,9.0,245.0 PCS,490.0,"",0.0
ring 22b,,"",2.5,10.0,-17.0 PCS,-42.5,"",0.0
sada pin ,,"",75.0,85.0,14.0 PKT,1050.0,"",0.0
samsi gol,,"",97.0,125.0,0.0 PCS,0.0,"",0.0
samsi seedhi,,"",97.0,125.0,2.0 PCS,194.0,"",0.0
sariya 20 inch,,"",6.0,8.5,72.0 PCS,432.0,"",0.0
sariya 22 inch,,"",5.25,8.0,150.0 PCS,787.5,"",0.0
sariya nut,,"",22.0,30.0,44.0 BOX,968.0,"",0.0
seat atlas 22 inch heavy,,"",132.0,145.0,22.0 PCS,2904.0,"",0.0
seat axle,,"",7.0,10.0,88.0 PCS,616.0,"",0.0
seat chutki,,"",95.0,200.0,5.0 BOX,475.0,"",0.0
seat cover bihari,,"",185.0,230.0,0.0 DOZ,0.0,"",0.0
seat fitting ashoka,,"",26.0,30.0,-1.0 PCS,-26.0,"",0.0
seat fitting std. ,,"",19.0,26.0,16.0 PCS,304.0,"",0.0
seat full heavy,,"",153.0,160.0,15.0 PCS,2295.0,"",0.0
seat hook,,"",6.0,0.0,60.0 PCS,360.0,"",0.0
seat kampo dlx,,"",18.5,24.0,74.0 PCS,1369.0,"",0.0
seat kampo std. ,,"",15.5,20.0,148.0 PCS,2294.0,"",0.0
seat kid ,,"",55.0,65.0,89.0 PCS,4895.0,"",0.0
seat kid black,,"",53.0,65.0,21.0 PCS,1113.0,"",0.0
seat lady bird 20 inch,,"",87.0,105.0,27.0 PCS,2349.0,"",0.0
seat piller bolt,,"",185.0,250.0,10.64 BOX,1968.4,"",0.0
seat piller mtb,,"",14.0,30.0,10.0 PCS,140.0,"",0.0
seat piller ramous,,"",12.5,15.0,25.0 PCS,312.5,"",0.0
seat plate,,"",6.5,12.0,108.0 PCS,702.0,"",0.0
seat ranger 2000,,"",114.5,135.0,16.0 PCS,1832.0,"",0.0
seat ranger 6000 ,,"",92.0,125.0,0.0 PCS,0.0,"",0.0
seat ranger 6112,,"",95.5,125.0,42.0 PCS,4011.0,"",0.0
seat ranger 7400 modern,,"",116.5,145.0,56.0 PCS,6524.0,"",0.0
seat ranger china,,"",220.0,250.0,0.0 PCS,0.0,"",0.0
seat slr,,"",73.5,85.0,13.0 PCS,955.5,"",0.0
seat spring 100pc hd,,"",120.0,145.0,23.0 BOX,2760.0,"",0.0
side lock,,"",30.0,36.0,5.0 PCS,150.0,"",0.0
sleeve skg,,"",72.0,100.0,3.0 PKT,216.0,"",0.0
soker bush Hercules,,"",95.0,95.0,-1.0 PCS,-95.0,"",0.0
soker rear ranger,,"",145.0,190.0,4.0 PCS,580.0,"",0.0
solution grl,,"",177.0,195.0,14.0 BOX,2478.0,"",0.0
spray black,,"",62.0,110.0,10.0 PCS,620.0,"",0.0
stand  dual nut lite,,"",42.0,0.0,12.0 PCS,504.0,"",0.0
stand 14 boot,,"",29.0,40.0,1.0 PCS,29.0,"",0.0
stand 16 boot,,"",29.0,40.0,13.0 PCS,377.0,"",0.0
stand 20.175 ranger,,"",31.0,40.0,60.0 PCS,1860.0,"",0.0
stand 20.175 ultra heavy,,"",43.0,54.0,6.0 PCS,258.0,"",0.0
stand 20inch dinesh,,"",105.0,135.0,4.0 PCS,420.0,"",0.0
stand 22inch dinesh,,"",135.0,170.0,0.0 PCS,0.0,"",0.0
stand 22inch siko,,"",167.0,170.0,38.0 PCS,6346.0,"",0.0
stand 26.175 heavy ,,"",44.0,58.0,7.0 PCS,308.0,"",0.0
stand dual nut broad patti dlx,,"",60.0,80.0,11.0 PCS,660.0,"",0.0
stand dual nut ranger,,"",47.0,65.0,43.0 PCS,2021.0,"",0.0
stand lite kid,,"",22.0,30.0,0.0 PCS,0.0,"",0.0
stand patti halki,,"",55.0,90.0,1.0 BOX,55.0,"",0.0
stand patti heavy,,"",69.0,100.0,60.0 BOX,4140.0,"",0.0
stand ranger 26 black,,"",31.0,42.0,30.0 PCS,930.0,"",0.0
stand spring,,"",5.0,6.0,878.0 PCS,4390.0,"",0.0
stick 20.175,,"",40.0,80.0,2.0 PCS,80.0,"",0.0
suletion diamond,,"",165.0,195.0,0.5 BOX,82.5,"",0.0
suletion koolbond,,"",165.0,180.0,4.0 BOX,660.0,"",0.0
suletion max,,"",174.0,180.0,2.0 BOX,348.0,"",0.0
supporter big,,"",55.0,80.0,38.0 PAIR,2090.0,"",0.0
supporter small,,"",48.0,75.0,34.0 PAIR,1632.0,"",0.0
supporter wheel ramous,,"",54.0,80.0,17.0 BOX,918.0,"",0.0
tail light china,,"",42.0,90.0,0.0 PCS,0.0,"",0.0
tala ladder,,"",37.5,40.0,5.0 PCS,187.5,"",0.0
tala leader,,"",35.5,37.5,0.0 PCS,0.0,"",0.0
tala leader,,"",35.5,40.0,-10.0 PCS,-355.0,"",0.0
tala nero,,"",310.0,310.0,0.0 BOX,0.0,"",0.0
tala patti,,"",51.5,90.0,9.5 UNT,489.25,"",0.0
tala ranger cheap,,"",27.0,35.0,0.0 PCS,0.0,"",0.0
tala ranger cybro,,"",43.0,50.0,12.0 PCS,516.0,"",0.0
tala ranger gold,,"",35.5,42.0,330.0 PCS,11715.0,"",0.0
tala ranger gold heavy,,"",56.0,65.0,0.0 PCS,0.0,"",0.0
tala ranger no. china,,"",56.0,68.0,0.0 PCS,0.0,"",0.0
tala ranger no. desi,,"",38.0,45.0,0.0 PCS,0.0,"",0.0
tala ranger oyo heavy,,"",54.0,65.0,24.0 PCS,1296.0,"",0.0
tala surya white,,"",52.0,53.0,70.0 PCS,3640.0,"",0.0
tala xuv 700,,"",36.0,39.0,0.0 PCS,0.0,"",0.0
tan 10g,,"",137.0,160.0,18.0 PKT,2466.0,"",0.0
tan 12g,,"",93.4,100.0,62.0 PKT,5790.8,"",0.0
tan 13g,,"",137.0,160.0,40.0 PKT,5480.0,"",0.0
tan 14 no,,"",124.0,155.0,1.0 GRS,124.0,"",0.0
tan 16 no,,"",124.0,150.0,2.0 PKT,248.0,"",0.0
tan 20.175,,"",128.0,145.0,2.0 GRS,256.0,"",0.0
tan 20inch,,"",140.0,160.0,7.0 PKT,980.0,"",0.0
tan 20inch 12g,,"",82.5,110.0,16.0 PKT,1320.0,"",0.0
tan 24.1.5,,"",128.0,0.0,1.0 GRS,128.0,"",0.0
tan 24.175,,"",128.0,0.0,2.0 GRS,256.0,"",0.0
tan 24/20/etc,,"",110.0,115.0,0.0 PKT,0.0,"",0.0
tan alloy rim,,"",170.0,250.0,-1.0 GRS,-170.0,"",0.0
tan light,,"",4.0,7.0,0.0 PCS,0.0,"",0.0
tan ranger,,"",140.0,165.0,5.0 PKT,700.0,"",0.0
tan ranger black,,"",150.0,270.0,11.0 GRS,1650.0,"",0.0
tan rinch,,"",19.0,20.0,0.0 PCS,0.0,"",0.0
tan slr,,"",137.0,0.0,0.0 PKT,0.0,"",0.0
thos tyre 14.175,,"",35.0,60.0,23.0 PCS,805.0,"",0.0
thos tyre 16.75,,"",36.0,75.0,18.0 PCS,648.0,"",0.0
thos tyre 20.240,,"",50.0,75.0,19.0 PCS,950.0,"",0.0
tikli omex,,"",24.0,28.0,54.0 PKT,1296.0,"",0.0
tikli omni,,"",32.5,40.0,65.0 PCS,2112.5,"",0.0
tikli omni 100 pc mc,,"",84.0,90.0,8.0 PCS,672.0,"",0.0
tikli omni 50 pc,,"",70.0,80.0,-1.0 PCS,-70.0,"",0.0
tool kit,,"",65.0,100.0,0.0 PCS,0.0,"",0.0
trishul pvc,,"",68.0,80.0,8.0 BOX,544.0,"",0.0
tube 14.240 hind ,,"",82.0,90.0,16.0 PCS,1312.0,"",0.0
tube 16.175 speedway,,"",75.0,80.0,0.0 PCS,0.0,"",0.0
tube 16.240 hind,,"",82.0,90.0,5.0 PCS,410.0,"",0.0
tube 18no.rc,,"",120.0,120.0,0.0 PCS,0.0,"",0.0
tube 20.175 hind,,"",69.0,72.0,0.0 PCS,0.0,"",0.0
tube 20.175 hind,,"",72.0,73.0,19.0 PCS,1368.0,"",0.0
tube 20.175 molded rc,,"",76.0,76.0,35.0 PCS,2660.0,"",0.0
tube 20.175 mri,,"",52.0,56.0,0.0 PCS,0.0,"",0.0
tube 20.240 hind,,"",89.5,95.0,0.0 PCS,0.0,"",0.0
tube 20.300 hind butyl,,"",130.0,150.0,0.0 PCS,0.0,"",0.0
tube 20inch atlas/bablu,,"",50.0,53.0,0.0 PCS,0.0,"",0.0
tube 24 no ralco,,"",90.0,90.0,2.0 PCS,180.0,"",0.0
tube 24.1/2 hind,,"",71.0,73.0,18.0 PCS,1278.0,"",0.0
tube 24.175 ,,"",76.5,80.0,13.0 PCS,994.5,"",0.0
tube 24.240 hind,,"",108.0,110.0,20.0 PCS,2160.0,"",0.0
tube 26.175 hind,,"",76.5,80.0,-1.0 PCS,-76.5,"",0.0
tube 26.175 mri,,"",58.0,68.0,0.0 PCS,0.0,"",0.0
tube 26.175 rc,,"",85.0,82.0,8.0 PCS,680.0,"",0.0
tube 26.240 hind,,"",108.0,110.0,1.0 PCS,108.0,"",0.0
tube 26.240 rc,,"",108.0,112.0,2.0 PCS,216.0,"",0.0
tube 26.300 bedrock,,"",131.0,150.0,16.0 PCS,2096.0,"",0.0
tube 26.300 hind butyl,,"",144.0,155.0,3.0 PCS,432.0,"",0.0
tube 26.300 madan,,"",125.0,135.0,0.0 PCS,0.0,"",0.0
tube 26.400 s.ways,,"",170.0,185.0,0.0 PCS,0.0,"",0.0
tube 2nd 17no,,"",107.0,120.0,18.0 PCS,1926.0,"",0.0
tube 2nd 18no,,"",107.0,120.0,5.0 PCS,535.0,"",0.0
tube 4.00*12,,"",140.0,0.0,0.0 PCS,0.0,"",0.0
tube atlas 22inch,,"",57.0,53.0,137.0 PCS,7809.0,"",0.0
tube bablu 22 inch,,"",50.5,60.0,164.0 PCS,8282.0,"",0.0
tube bedrock goldstar,,"",77.7,80.0,-35.0 PCS,-2719.5,"",0.0
tube bedrock molded,,"",77.7,82.0,120.0 PCS,9324.0,"",0.0
tube bikki tvs,,"",110.0,110.0,5.0 PCS,550.0,"",0.0
tube hind simba 20inch,,"",71.0,72.0,66.0 PCS,4686.0,"",0.0
tube hind takat 22inch,,"",71.0,72.0,226.0 PCS,16046.0,"",0.0
tube hind tiger 20inch,,"",66.0,70.0,0.0 PCS,0.0,"",0.0
tube hind tiger 22inch,,"",68.0,71.5,29.0 PCS,1972.0,"",0.0
tube kartex 22,,"",53.0,53.0,165.0 PCS,8745.0,"",0.0
tube kohinoor ,,"",51.7,55.0,88.0 PCS,4549.6,"",0.0
tube kohinoor 20inch,,"",51.3,55.0,8.0 PCS,410.4,"",0.0
tube madan d006 heavy,,"",92.0,95.0,-1.0 PCS,-92.0,"",0.0
tube mahendra 20inch,,"",58.0,60.0,184.0 PCS,10672.0,"",0.0
tube mahendra 22inch,,"",58.0,60.0,41.0 PCS,2378.0,"",0.0
tube mrf 17no ,,"",122.0,128.0,72.0 PCS,8784.0,"",0.0
tube mrf 18 no. ,,"",122.0,128.0,0.0 PCS,0.0,"",0.0
tube mrf riksa,,"",110.0,112.0,-5.0 PCS,-550.0,"",0.0
tube ralco,,"",90.0,92.0,-7.0 PCS,-630.0,"",0.0
tube ralco 20inch,,"",88.0,93.0,0.0 PCS,0.0,"",0.0
tube rc 20inch,,"",76.0,76.0,1.0 PCS,76.0,"",0.0
tube rc 22 inch sada,,"",78.0,76.0,25.0 PCS,1950.0,"",0.0
tube rc heavy,,"",85.0,90.0,0.0 PCS,0.0,"",0.0
tube rc molded,,"",80.0,83.0,0.0 PCS,0.0,"",0.0
tubeless kit,,"",55.0,75.0,0.0 PCS,0.0,"",0.0
tubeless kit heavy bolton,,"",85.0,130.0,2.0 PCS,170.0,"",0.0
tyre 14.240,,"",130.0,140.0,0.0 PCS,0.0,"",0.0
tyre 16.175,,"",130.0,135.0,0.0 PCS,0.0,"",0.0
tyre 16.240,,"",130.0,150.0,0.0 PCS,0.0,"",0.0
tyre 20.175 hind,,"",105.0,130.0,0.0 PCS,0.0,"",0.0
tyre 20.175 metro,,"",122.0,130.0,8.0 PCS,976.0,"",0.0
tyre 20.240 hind ,,"",143.0,170.0,11.0 PCS,1573.0,"",0.0
tyre 20inch bedrock cotton,,"",130.0,135.0,82.0 PCS,10660.0,"",0.0
tyre 20inch metro hulk,,"",140.0,150.0,2.0 PCS,280.0,"",0.0
tyre 20inch rc,,"",197.0,200.0,-2.0 PCS,-394.0,"",0.0
tyre 20inch velo,,"",200.0,202.0,0.0 PCS,0.0,"",0.0
tyre 22inch bedrock cotton,,"",143.0,150.0,105.0 PCS,15015.0,"",0.0
tyre 22inch metro hulk,,"",145.0,155.0,0.0 PCS,0.0,"",0.0
tyre 24 no sada,,"",132.0,135.0,2.0 PCS,264.0,"",0.0
tyre 24.175,,"",169.0,175.0,1.0 PCS,169.0,"",0.0
tyre 24.175 hind,,"",147.0,180.0,14.0 PCS,2058.0,"",0.0
tyre 24.240 metro,,"",235.0,245.0,0.0 PCS,0.0,"",0.0
tyre 24.240 nylon kohinoor,,"",192.0,225.0,8.0 PCS,1536.0,"",0.0
tyre 26.138 metro,,"",140.0,145.0,-2.0 PCS,-280.0,"",0.0
tyre 26.240 hind,,"",195.0,225.0,2.0 PCS,390.0,"",0.0
tyre 26.240 metro,,"",240.0,245.0,6.0 PCS,1440.0,"",0.0
tyre 26.240 nylon hind,,"",247.0,270.0,10.0 PCS,2470.0,"",0.0
tyre 26.240 nylon rc,,"",270.0,280.0,2.0 PCS,540.0,"",0.0
tyre 26.300 hind,,"",350.0,320.0,0.0 PCS,0.0,"",0.0
tyre 26.400,,"",825.0,870.0,0.0 PCS,0.0,"",0.0
tyre atlas cotton 22inch,,"",90.0,105.0,0.0 PCS,0.0,"",0.0
tyre bodygard,,"",195.5,197.0,0.0 PCS,0.0,"",0.0
tyre diamond,,"",107.0,115.0,65.0 PCS,6955.0,"",0.0
tyre grl 20inch,,"",170.0,180.0,2.0 PCS,340.0,"",0.0
tyre hind 20inch ,,"",172.0,180.0,1.0 PCS,172.0,"",0.0
tyre hind 22 inch,,"",183.0,190.0,5.0 PCS,915.0,"",0.0
tyre lever,,"",26.0,50.0,5.0 PAIR,130.0,"",0.0
tyre nylon hind 26.195,,"",180.0,200.0,18.0 PCS,3240.0,"",0.0
tyre nylon ranger rc heavy,,"",225.0,235.0,0.0 PCS,0.0,"",0.0
tyre ralco,,"",225.0,233.0,2.0 PCS,450.0,"",0.0
tyre ralco 20inch,,"",205.0,215.0,2.0 PCS,410.0,"",0.0
tyre ralco cotton,,"",175.0,182.0,0.0 PCS,0.0,"",0.0
tyre ralco mega star,,"",220.0,230.0,1.0 PCS,220.0,"",0.0
tyre ranger cotton,,"",160.0,180.0,3.0 PCS,480.0,"",0.0
tyre ranger hind road rider,,"",175.0,180.0,0.0 PCS,0.0,"",0.0
tyre ranger metro,,"",166.5,175.0,0.0 PCS,0.0,"",0.0
tyre rc 22 inch,,"",205.0,203.0,3.0 PCS,615.0,"",0.0
tyre velo 22inch,,"",205.0,215.0,3.0 PCS,615.0,"",0.0
val light flower,,"",220.0,380.0,22.3339 BOX,4913.46,"",0.0
val light star,,"",270.0,400.0,3.0 BOX,810.0,"",0.0
vallight firefly,,"",22.0,35.0,105.0 PAIR,2310.0,"",0.0
walker 8 bend panda heavy,,"",265.0,300.0,0.0 PCS,0.0,"",0.0
walker grip cheap,,"",160.0,200.0,0.0 PCS,0.0,"",0.0
walker round music,,"",215.0,250.0,0.0 PCS,0.0,"",0.0
walker round panda heavy ,,"",255.0,280.0,0.0 PCS,0.0,"",0.0
water bottle,,"",52.0,75.0,4.0 PCS,208.0,"",0.0
wraping roll,,"",30.0,50.0,9.0 PCS,270.0,"",0.0
